project;description;gitRepo;tagCreatedOn;projectCreatedOn;projectMonths;platform;domain;stars;contributors;NEBTM;NTM;NEBTM/NTM;NADTE;NDTE;NDUE;NEU;NADTE/NDUE;NDTE/NDUE;log10(NTM);log10(NEU);log10(NEBTM);log10(NTM-NEBTM);NTM-NEBTM;log10(stars)
libgdx;'Desktop/Android/HTML5/iOS Java game development framework';https://github.com/libgdx/libgdx;2019;2012;92;Multi-platform;Frameworks;15907;345;7;67;0.1045;3;3;52;4550;0.0577;0.0577;1.8325089127062364;3.658106835506393;0.9030899869919435;1.792391689498254;60;4.201588281073518
VasSonic;'VasSonic is a lightweight and high-performance Hybrid framework developed by tencent VAS team, which is intended to speed up the first screen of websites working on Android and iOS platform. ';https://github.com/Tencent/VasSonic;2019;2017;32;Mobile;Frameworks;10218;13;0;7;0.0;0;0;16;97;0.0;0.0;0.9030899869919435;1.9912260756924949;0.0;0.9542425094393249;7;4.009365898346244
VirtualAPK;'A powerful and lightweight plugin framework for Android';https://github.com/didi/VirtualAPK;2018;2017;33;Mobile;Frameworks;7407;6;0;2;0.0;0;0;22;444;0.0;0.0;0.47712125471966244;2.6483600109809315;0.0;0.6020599913279624;2;3.8696423446515946
atlas;'A powerful Android Dynamic Component Framework.';https://github.com/alibaba/atlas;2019;2017;37;Mobile;Frameworks;7331;22;0;32;0.0;0;0;109;4415;0.0;0.0;1.5185139398778875;3.6450290647211423;0.0;1.5314789170422551;32;3.865163219506086
RePlugin;'RePlugin - A flexible, stable, easy-to-use Android Plug-in Framework';https://github.com/Qihoo360/RePlugin;2019;2017;34;Mobile;Frameworks;5941;21;0;2;0.0;0;0;34;875;0.0;0.0;0.47712125471966244;2.9425041061680806;0.0;0.6020599913279624;2;3.773859552376687
RIBs;'Uber's cross-platform mobile architecture framework.';https://github.com/uber/RIBs;2018;2017;30;Mobile;Frameworks;5000;34;3;74;0.0405;2;2;15;89;0.1333;0.1333;1.8750612633917;1.954242509439325;0.6020599913279624;1.863322860120456;71;3.6989700043360187
Small;'A small framework to split app into small parts';https://github.com/wequick/Small;2018;2015;52;Mobile;Frameworks;4780;18;0;15;0.0;0;0;22;133;0.0;0.0;1.2041199826559248;2.1271047983648077;0.0;1.2304489213782739;15;3.6794278966121188
robolectric;'Android Unit Testing Framework';https://github.com/robolectric/robolectric;2019;2010;115;Mobile;Frameworks;4704;200;464;5193;0.0894;42;30;89;2147;0.4719;0.3371;3.715501945293284;3.332034277027518;2.667452952889954;3.674952948048565;4729;3.6724673130680823
smartTable;'一款android自动生成表格框架---An Android automatically generated table framework';https://github.com/huangyanbin/smartTable;2018;2017;29;Mobile;Frameworks;3646;1;0;2;0.0;0;0;10;55;0.0;0.0;0.47712125471966244;1.7481880270062005;0.0;0.6020599913279624;2;3.5618166643189575
Conductor;'A small, yet full-featured framework that allows building View-based Android applications';https://github.com/bluelinelabs/Conductor;2018;2016;49;Mobile;Frameworks;3561;30;0;91;0.0;0;0;8;39;0.0;0.0;1.9637878273455553;1.6020599913279623;0.0;1.968482948553935;91;3.5515719736742537
Rosie;'Rosie is an Android framework to create applications following the principles of Clean Architecture.';https://github.com/Karumi/Rosie;2018;2015;52;Mobile;Frameworks;1873;13;11;119;0.0924;3;3;12;116;0.25;0.25;2.0791812460476247;2.0681858617461617;1.0791812460476249;2.041392685158225;108;3.2725377773752373
Component;'A powerful componentized framework.一个最强大,100% 兼容的组件化框架. 选型的时候你真的好好比较了此框架 和 ARouter 的优缺点了吗？点击后面链接查看比较结果';https://github.com/xiaojinzi123/Component;2019;2018;20;Mobile;Frameworks;1485;3;0;6;0.0;0;0;24;261;0.0;0.0;0.8450980400142568;2.4183012913197452;0.0;0.9030899869919435;6;3.171726453653231
MiPushFramework;'Let supported push service run system-ly on every Android devices';https://github.com/MiPushFramework/MiPushFramework;2019;2017;31;Mobile;Frameworks;1387;7;0;32;0.0;0;0;32;595;0.0;0.0;1.5185139398778875;2.7752462597402365;0.0;1.5314789170422551;32;3.1420764610732848
