project;tagCreatedOn;tagCoverage;projectCreatedOn;platform;domain;stars;contributors;NEBTM/NTM;NTSSTPE;NTSCE;NTSNIE;NTS;NTSSTPE/NTS;NTSCE/NTS;NTSNIE/NTS;NCTSSTPE;NCTSCE;NCTNIE;NCTS;NCTSSTPE/NCTS;NCTNIE/NCTS;NCTSCE/NCTS;NCTS/NTS;NCTSCE/NTSCE;NCTSSTPE/NTSSTPE;NCTSSTPE/NTSSTPE_REAL;NDTE/NDUE
AndroidMvc;2017;0.9626;2015;Mobile;Frameworks;196;2;0.1467;27;34;2;63;0.4286;0.5397;0.0317;8;29;0;37;0.2162;0.7838;0.0;0.5873;0.8529;0.2963;0.2963;0.4231
zxing;2019;0.7807999999999999;2011;Multi-platform;Libraries;23663;97;0.0513;171;68;233;472;0.3623;0.1441;0.4936;13;5;100;118;0.1102;0.0424;0.8475;0.25;0.0735;0.076;0.076;0.1389
Android-ObservableScrollView;2015;0.8853;2014;Mobile;Libraries;9449;14;0.02;3;0;0;3;1.0;0.0;0.0;1;0;0;1;1.0;0.0;0.0;0.3333;NaN;NaN;0.3333;0.1429
BottomBar;2017;0.6339;2016;Mobile;Libraries;8304;33;0.0667;7;1;0;8;0.875;0.125;0.0;3;0;0;3;1.0;0.0;0.0;0.375;0.0;0.4286;0.4286;0.3333
ReactiveNetwork;2019;0.752;2015;Mobile;Libraries;2215;10;0.2174;4;0;0;4;1.0;0.0;0.0;4;0;0;4;1.0;0.0;0.0;1.0;NaN;NaN;1.0;0.3333
uber-apk-signer;2018;0.8129000000000001;2016;Desktop/Server;Tools;292;2;0.0635;28;0;1;29;0.9655;0.0;0.0345;5;0;0;5;1.0;0.0;0.0;0.1724;NaN;NaN;0.1786;0.2
density-converter;2019;0.6751999999999999;2016;Multi-platform;Tools;211;2;0.0779;13;9;0;22;0.5909;0.4091;0.0;0;4;0;4;0.0;1.0;0.0;0.1818;0.4444;0.0;0.0;0.0833
uber-adb-tools;2018;0.8240000000000001;2016;Mobile;Tools;86;1;0.0244;17;0;1;18;0.9444;0.0;0.0556;2;0;0;2;1.0;0.0;0.0;0.1111;NaN;NaN;0.1176;0.4
mockito;2019;0.8658;2012;Multi-platform;Frameworks;9436;163;0.2917;49;86;110;245;0.2;0.351;0.449;7;43;99;149;0.047;0.2886;0.6644;0.6082;0.5;0.1429;0.1429;0.5789
hsweb-framework;2019;0.3362;2016;Desktop/Server;Frameworks;6613;16;0.0;101;95;14;210;0.481;0.4524;0.0667;1;7;0;8;0.125;0.875;0.0;0.0381;0.0737;0.0099;0.0099;0.0
sofa-boot;2019;0.6716;2018;Desktop/Server;Frameworks;3307;15;0.0287;44;52;9;105;0.419;0.4952;0.0857;0;4;0;4;0.0;1.0;0.0;0.0381;0.0769;0.0;0.0;0.0968
jvm-sandbox;2019;0.431;2017;Desktop/Server;Frameworks;2947;18;0.0116;33;18;7;58;0.569;0.3103;0.1207;0;4;0;4;0.0;1.0;0.0;0.069;0.2222;0.0;0.0;0.0417
